name,reach,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,height_cm,weight_kg,wins,losses,draws,nc,age,total_fights,win_rate,stance_encoded
Danny Abbadi,191.1604,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0,180.34,70.30676,4,6,0,0,42,10,0.4,1
Nariman Abbasov,167.64000000000001,3.0,0.2,5.67,0.46,0.0,0.0,0.66,0.0,172.72,70.30676,28,4,0,0,31,32,0.875,1
Darion Abbey,203.2,8.44,0.5,14.06,0.28,0.0,0.0,0.0,0.0,187.96,120.20188,9,5,0,0,32,14,0.6428571428571429,1
David Abbott,193.8528,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0,182.88,120.20188,10,15,0,0,60,25,0.4,4
Hamdy Abdelwahab,182.88,4.27,0.55,3.67,0.51,3.25,0.65,1.0,0.0,187.96,120.20188,7,1,0,1,32,8,0.875,3
Mansur Abdul-Malik,203.2,4.27,0.48,3.49,0.51,0.49,0.33,0.82,0.0,187.96,83.91452,8,0,1,0,28,9,0.8888888888888888,1
Shamil Abdurakhimov,193.04,2.41,0.44,3.02,0.55,1.01,0.23,0.45,0.1,190.5,106.59412,20,8,0,0,44,28,0.7142857142857143,1
Hiroyuki Abe,177.69840000000002,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0,167.64000000000001,65.77083999999999,8,15,3,1,55,26,0.3076923076923077,1
Daichi Abe,180.34,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0,180.34,77.11064,6,2,0,0,34,8,0.75,1
Papy Abedi,191.1604,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3,180.34,83.91452,10,4,0,0,47,14,0.7142857142857143,3
Ricardo Abreu,191.1604,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,180.34,83.91452,5,1,0,0,41,6,0.8333333333333334,1
Klidson Abreu,187.96,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0,182.88,92.98636,15,4,0,1,32,19,0.7894736842105263,1
Daniel Acacio,183.0832,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0,172.72,81.64656,30,18,0,0,47,48,0.625,1
John Adajar,190.5,3.9,0.52,6.28,0.44,0.0,0.0,0.0,0.0,175.26,77.11064,6,2,0,0,34,8,0.75,1
Juan Adams,203.2,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0,195.58,120.20188,5,3,0,0,33,8,0.625,1
Anthony Adams,193.04,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0,185.42000000000002,83.91452,8,2,0,0,37,10,0.8,1
Zarrukh Adashev,165.1,3.65,0.4,3.04,0.64,0.0,0.0,1.0,0.5,165.1,56.699,4,4,0,0,33,8,0.5,3
Israel Adesanya,203.2,4.02,0.48,3.2,0.55,0.05,0.11,0.76,0.1,193.04,83.91452,24,5,0,0,36,29,0.8275862068965517,4
Mohamed Ado,193.04,1.66,0.83,0.33,0.75,4.97,0.5,0.5,5.0,180.34,77.11064,5,1,0,0,25,6,0.8333333333333334,4
Nick Agallar,183.0832,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,172.72,70.30676,24,6,0,0,46,30,0.8,1
Mariya Agapova,172.72,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,167.64000000000001,56.699,10,5,0,0,28,15,0.6666666666666666,3
Jessica Aguilar,160.02,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,160.02,52.16308,20,8,0,0,43,28,0.7142857142857143,1
Kevin Aguilar,185.42000000000002,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,170.18,70.30676,17,5,0,0,37,22,0.7727272727272727,1
Jesus Aguilar,157.48,2.65,0.4,1.85,0.62,1.64,0.31,0.48,1.4,162.56,56.699,12,3,0,0,29,15,0.8,1
Christian Aguilera,182.88,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,175.26,77.11064,14,8,0,0,34,22,0.6363636363636364,4
Nick Aguirre,187.96,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6,175.26,61.23492,7,2,0,0,29,9,0.7777777777777778,3
Agulali,170.18,2.74,0.6,2.19,0.59,0.0,0.0,1.0,0.0,175.26,56.699,13,2,0,0,20,15,0.8666666666666667,4
Mike Aina,185.7756,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,175.26,70.30676,14,6,1,1,44,21,0.6666666666666666,1
Ashiek Ajim,180.34,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,172.72,61.23492,6,2,0,0,31,8,0.75,4
Hitomi Akano,172.3136,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,162.56,61.23492,18,10,0,0,51,28,0.6428571428571429,3
Omari Akhmedov,185.42000000000002,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,182.88,83.91452,21,6,1,0,38,28,0.75,1
Yoshihiro Akiyama,190.5,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0,177.8,77.11064,14,6,0,2,50,20,0.7,1
Rostem Akman,182.88,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0,177.8,77.11064,6,2,0,0,33,8,0.75,4
Razak Al-Hassan,199.23760000000001,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,187.96,92.98636,13,5,0,0,43,18,0.7222222222222222,1
Abdul-Kareem Al-Selwady,175.26,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,172.72,70.30676,15,4,0,0,30,19,0.7894736842105263,1
Mostapha Al-Turk,195.58,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,187.96,111.13004,6,6,0,0,52,12,0.5,1
Herdem Alacabek,190.5,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,187.96,92.98636,5,1,0,0,34,6,0.8333333333333334,1
Alatengheili,167.64000000000001,2.82,0.32,5.12,0.57,1.74,0.43,0.75,0.0,165.1,61.23492,17,10,2,0,33,29,0.5862068965517241,1
Amir Albazi,172.72,2.72,0.34,3.71,0.61,1.39,0.32,0.5,0.5,165.1,56.699,17,2,0,0,32,19,0.8947368421052632,1
John Albert,172.72,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,172.72,61.23492,6,5,0,0,39,11,0.5454545454545454,1
Junior Albini,187.96,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,190.5,119.748288,14,6,0,0,34,20,0.7,1
Aleksandra Albu,160.02,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,157.48,52.16308,3,2,0,0,35,5,0.6,1
Iuri Alcantara,180.34,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,175.26,61.23492,35,10,0,1,45,45,0.7777777777777778,3
Ildemar Alcantara,198.12,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,187.96,83.91452,21,11,0,0,43,32,0.65625,1
Gilbert Aldana,196.54520000000002,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,185.42000000000002,113.398,6,2,0,0,48,8,0.75,1
Irene Aldana,172.72,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,175.26,61.23492,15,8,0,0,37,23,0.6521739130434783,1
Hector Aldana,182.88,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,180.34,77.11064,4,3,0,0,37,7,0.5714285714285714,1
Jose Alday,172.72,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,170.18,61.23492,14,6,1,0,34,21,0.6666666666666666,1
Jose Aldo,177.8,3.65,0.46,3.81,0.6,0.47,0.51,0.92,0.1,170.18,61.23492,32,10,0,0,39,42,0.7619047619047619,1
JJ Aldrich,170.18,3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,165.1,56.699,14,7,0,0,33,21,0.6666666666666666,3
Irina Alekseeva,170.18,3.42,0.38,5.02,0.45,0.38,0.2,0.5,0.4,172.72,61.23492,5,4,0,0,35,9,0.5555555555555556,1
Talita Alencar,147.32,2.91,0.37,3.36,0.55,3.02,0.26,0.66,0.6,154.94,52.16308,7,1,1,0,35,9,0.7777777777777778,1
Jim Alers,180.34,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,175.26,65.77083999999999,13,3,0,1,39,16,0.8125,1
John Alessio,182.88,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,177.8,70.30676,35,17,0,2,46,52,0.6730769230769231,1
Houston Alexander,182.88,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,182.88,92.98636,17,15,1,2,53,33,0.5151515151515151,1
Kenneth Alexander,185.7756,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,175.26,70.30676,7,6,0,1,48,13,0.5384615384615384,1
