fighter_1,fighter_2,fighter_1_kd,fighter_2_kd,fighter_1_sig_str,fighter_2_sig_str,fighter_1_td,fighter_2_td,fighter_1_sub,fighter_2_sub,result,winner,weight_class,method,rounds,time,location
Islam Makhachev,Jack Della Maddalena,0,0,30,18,4,0,0,0,win,Islam Makhachev,Welterweight,U-DEC,5,5:00,"New York City, New York, USA"
Valentina Shevchenko,Zhang Weili,0,0,41,32,5,0,0,0,win,Valentina Shevchenko,Women's Flyweight,U-DEC,5,5:00,"New York City, New York, USA"
Michael Morales,Sean Brady,1,0,24,8,0,0,0,0,win,Michael Morales,Welterweight,KO/TKO Punches,1,3:27,"New York City, New York, USA"
Carlos Prates,Leon Edwards,1,0,21,12,0,2,0,0,win,Carlos Prates,Welterweight,KO/TKO Punch,2,1:28,"New York City, New York, USA"
Benoit Saint Denis,Beneil Dariush,1,0,3,3,0,0,0,0,win,Benoit Saint Denis,Lightweight,KO/TKO Punch,1,0:16,"New York City, New York, USA"
Bo Nickal,Rodolfo Vieira,1,0,77,24,2,0,1,0,win,Bo Nickal,Middleweight,KO/TKO Kick,3,2:24,"New York City, New York, USA"
Gregory Rodrigues,Roman Kopylov,0,0,90,52,0,2,1,0,win,Gregory Rodrigues,Middleweight,U-DEC,3,5:00,"New York City, New York, USA"
Erin Blanchfield,Tracy Cortez,0,0,52,46,2,1,1,0,win,Erin Blanchfield,Women's Flyweight,SUB Rear Naked Choke,2,4:44,"New York City, New York, USA"
Ethyn Ewing,Malcolm Wellmaker,0,0,85,77,3,0,0,0,win,Ethyn Ewing,Featherweight,U-DEC,3,5:00,"New York City, New York, USA"
Kyle Daukaus,Gerald Meerschaert,1,0,8,0,0,0,1,0,win,Kyle Daukaus,Middleweight,SUB D'Arce Choke,1,0:50,"New York City, New York, USA"
Pat Sabatini,Chepe Mariscal,0,0,12,7,7,0,0,0,win,Pat Sabatini,Featherweight,U-DEC,3,5:00,"New York City, New York, USA"
Fatima Kline,Angela Hill,0,0,115,56,4,0,0,0,win,Fatima Kline,Women's Strawweight,U-DEC,3,5:00,"New York City, New York, USA"
Baisangur Susurkaev,Eric McConico,1,0,53,53,2,0,0,0,win,Baisangur Susurkaev,Middleweight,KO/TKO Punch,3,1:38,"New York City, New York, USA"
Matheus Camilo,Viacheslav Borshchev,0,0,39,65,5,0,0,0,win,Matheus Camilo,Lightweight,U-DEC,3,5:00,"New York City, New York, USA"
Gabriel Bonfim,Randy Brown,1,0,35,33,0,0,0,0,win,Gabriel Bonfim,Welterweight,KO/TKO Knee,2,1:40,"Las Vegas, Nevada, USA"
Joseph Morales,Matt Schnell,0,0,5,4,0,1,1,0,win,Joseph Morales,Flyweight,SUB Guillotine Choke,1,2:54,"Las Vegas, Nevada, USA"
Uros Medic,Muslim Salikhov,1,0,8,2,0,0,0,0,win,Uros Medic,Welterweight,KO/TKO Punch,1,1:03,"Las Vegas, Nevada, USA"
Chris Padilla,Ismael Bonfim,0,0,64,42,0,1,0,0,win,Chris Padilla,Lightweight,KO/TKO Punches,2,4:30,"Las Vegas, Nevada, USA"
Christian Leroy Duncan,Marco Tulio,1,0,23,27,1,2,0,0,win,Christian Leroy Duncan,Middleweight,KO/TKO Punch,2,3:20,"Las Vegas, Nevada, USA"
